Report generated on: 2025-11-17 17:17:39


USE CASE 9: All cities in region Eastern Asia
Hibernate: 
    /* SELECT
        c 
    FROM
        City c,
        Country co 
    WHERE
        c.countryCode = co.code 
        AND co.region = :region 
    ORDER BY
        c.population DESC */ select
            c1_0.`ID`,
            c1_0.`CountryCode`,
            c1_0.`District`,
            c1_0.`Name`,
            c1_0.`Population` 
        from
            city c1_0,
            country c2_0 
        where
            c1_0.`CountryCode`=c2_0.`Code` 
            and c2_0.`Region`=? 
        order by
            c1_0.`Population` desc
Name                           Country         District                  Population
Macao                          MAC             Macau                        437,500
Oita                           JPN             Oita                         433,401
Nagasaki                       JPN             Nagasaki                     432,759
Yokosuka                       JPN             Kanagawa                     430,200
Weifang                        CHN             Shandong                     428,522
Wuhu                           CHN             Anhui                        425,740
Pingxiang                      CHN             Jiangxi                      425,579
Kurashiki                      JPN             Okayama                      425,103
Yingkou                        CHN             Liaoning                     421,589
Anyang                         CHN             Henan                        420,332
Panzhihua                      CHN             Sichuan                      415,466
Pingdingshan                   CHN             Henan                        410,775
Xiangfan                       CHN             Hubei                        410,407
Zhuzhou                        CHN             Hunan                        409,924
Jiaozuo                        CHN             Henan                        409,100
Gifu                           JPN             Gifu                         408,007
Hirakata                       JPN             Osaka                        403,151
Wenzhou                        CHN             Zhejiang                     401,871
Zhangjiang                     CHN             Guangdong                    400,997
Nishinomiya                    JPN             Hyogo                        397,618
Toyonaka                       JPN             Osaka                        396,689
Zigong                         CHN             Sichuan                      393,184
Chungho                        TWN             Taipei                       392,176
Wakayama                       JPN             Wakayama                     391,233
Shuangyashan                   CHN             Heilongjiang                 386,081
Keelung (Chilung)              TWN             Keelung                      385,201
Zaozhuang                      CHN             Shandong                     380,846
Sanchung                       TWN             Taipei                       380,084
Yakeshi                        CHN             Inner Mongolia               377,869
Fukuyama                       JPN             Hiroshima                    376,921
Fujisawa                       JPN             Kanagawa                     372,840
Yichang                        CHN             Hubei                        371,601
Zhenjiang                      CHN             Jiangsu                      368,316
Huaibei                        CHN             Anhui                        366,549
Hsinchuang                     TWN             Taipei                       365,048
Qinhuangdao                    CHN             Hebei                        364,972
Asahikawa                      JPN             Hokkaido                     364,813
Machida                        JPN             Tokyo-to                     364,197
Guilin                         CHN             Guangxi                      364,130
Liupanshui                     CHN             Guizhou                      363,954
Nara                           JPN             Nara                         362,812
Panjin                         CHN             Liaoning                     362,773
Yangquan                       CHN             Shanxi                       362,268
Hsinchu                        TWN             Hsinchu                      361,958
Takatsuki                      JPN             Osaka                        361,747
Iwaki                          JPN             Fukushima                    361,737
Nagano                         JPN             Nagano                       361,391
Toyohashi                      JPN             Aichi                        360,066
Jinxi                          CHN             Liaoning                     357,052
Liaoyuan                       CHN             Jilin                        354,141
Lianyungang                    CHN             Jiangsu                      354,139
Xianyang                       CHN             Shaanxi                      352,125
Kwangmyong                     KOR             Kyonggi                      350,914
Tai´an                         CHN             Shandong                     350,696
Chifeng                        CHN             Inner Mongolia               350,077
Shaoguan                       CHN             Guangdong                    350,043
Toyota                         JPN             Aichi                        346,090
Suita                          JPN             Osaka                        345,750
Nantong                        CHN             Jiangsu                      343,341
Leshan                         CHN             Sichuan                      341,128
Baoji                          CHN             Shaanxi                      337,765
Takamatsu                      JPN             Kagawa                       332,471
Koriyama                       JPN             Fukushima                    330,335
Chonan                         KOR             Chungchongnam                330,259
Chinju                         KOR             Kyongsangnam                 329,886
Okazaki                        JPN             Aichi                        328,711
Kawagoe                        JPN             Saitama                      327,211
Sinuiju                        PRK             Pyongan P                    326,011
Tokorozawa                     JPN             Saitama                      325,809
Toyama                         JPN             Toyama                       325,790
Linyi                          CHN             Shandong                     324,720
Kochi                          JPN             Kochi                        324,710
Tonghua                        CHN             Jilin                        324,600
Iksan                          KOR             Chollabuk                    322,685
Kashiwa                        JPN             Chiba                        320,296
Chungli                        TWN             Taoyuan                      318,649
Fengshan                       TWN             Kaohsiung                    318,562
Siping                         CHN             Jilin                        317,223
Changzhi                       CHN             Shanxi                       317,144
Taoyuan                        TWN             Taoyuan                      316,438
Tengzhou                       CHN             Shandong                     315,083
Akita                          JPN             Akita                        314,440
Chaozhou                       CHN             Guangdong                    313,469
Pyongtaek                      KOR             Kyonggi                      312,927
Yangzhou                       CHN             Jiangsu                      312,892
Kumi                           KOR             Kyongsangbuk                 311,431
Dongwan                        CHN             Guangdong                    308,669
Ma´anshan                      CHN             Anhui                        305,421
Miyazaki                       JPN             Miyazaki                     303,784
Foshan                         CHN             Guangdong                    303,160
Yueyang                        CHN             Hunan                        302,800
Xingtai                        CHN             Hebei                        302,789
Koshigaya                      JPN             Saitama                      301,446
Changde                        CHN             Hunan                        301,276
Wonsan                         PRK             Kangwon                      300,148
Naha                           JPN             Okinawa                      299,851
Shihezi                        CHN             Xinxiang                     299,676
Yancheng                       CHN             Jiangsu                      296,831
Aomori                         JPN             Aomori                       295,969
Hakodate                       JPN             Hokkaido                     294,788
Akashi                         JPN             Hyogo                        292,253
Jiujiang                       CHN             Jiangxi                      291,187
Yokkaichi                      JPN             Mie                          288,173
Fukushima                      JPN             Fukushima                    287,525
Morioka                        JPN             Iwate                        287,353
Maebashi                       JPN             Gumma                        284,473
Kasugai                        JPN             Aichi                        282,348
Otsu                           JPN             Shiga                        282,070
Dongying                       CHN             Shandong                     281,728
Shashi                         CHN             Hubei                        281,352
Xintai                         CHN             Shandong                     281,248
Jingdezhen                     CHN             Jiangxi                      281,183
Tongchuan                      CHN             Shaanxi                      280,657
Ichihara                       JPN             Chiba                        279,280
Zhongshan                      CHN             Guangdong                    278,829
Yao                            JPN             Osaka                        276,421
Uijongbu                       KOR             Kyonggi                      276,111
Shiyan                         CHN             Hubei                        273,786
Kyongju                        KOR             Kyongsangbuk                 272,968
Phyongsong                     PRK             Pyongan N                    272,934
Ichinomiya                     JPN             Aichi                        270,828
Tokushima                      JPN             Tokushima                    269,649
Kunsan                         KOR             Chollabuk                    266,569
Kakogawa                       JPN             Hyogo                        266,281
Tieli                          CHN             Heilongjiang                 265,683
Jining                         CHN             Shandong                     265,248
Chiayi                         TWN             Chiayi                       265,109
Wuhai                          CHN             Inner Mongolia               264,081
Hsintien                       TWN             Taipei                       263,603
Mianyang                       CHN             Sichuan                      262,947
Luzhou                         CHN             Sichuan                      262,892
Zunyi                          CHN             Guizhou                      261,862
Ibaraki                        JPN             Osaka                        261,020
Cheju                          KOR             Cheju                        258,511
Shizuishan                     CHN             Ningxia                      257,862
Neyagawa                       JPN             Osaka                        257,315
Shimonoseki                    JPN             Yamaguchi                    257,263
Kimhae                         KOR             Kyongsangnam                 256,370
Neijiang                       CHN             Sichuan                      256,012
Yamagata                       JPN             Yamagata                     255,617
Tongliao                       CHN             Inner Mongolia               255,129
Tieling                        CHN             Liaoning                     254,842
Fukui                          JPN             Fukui                        254,818
Hiratsuka                      JPN             Kanagawa                     254,207
Sariwon                        PRK             Hwanghae P                   254,146
Wafangdian                     CHN             Liaoning                     251,733
Anqing                         CHN             Anhui                        250,718
Sunchon                        KOR             Chollanam                    249,263
Mokpo                          KOR             Chollanam                    247,452
Shaoyang                       CHN             Hunan                        247,227
Laiwu                          CHN             Shandong                     246,833
Chengde                        CHN             Hebei                        246,799
Mito                           JPN             Ibaragi                      246,559
Tianshui                       CHN             Gansu                        244,974
Sasebo                         JPN             Nagasaki                     244,240
Nanyang                        CHN             Henan                        243,303
Hachinohe                      JPN             Aomori                       242,979
Cangzhou                       CHN             Hebei                        242,708
Yong-in                        KOR             Kyonggi                      242,643
Yibin                          CHN             Sichuan                      241,019
Huaiyin                        CHN             Jiangsu                      239,675
Takasaki                       JPN             Gumma                        239,124
Shimizu                        JPN             Shizuoka                     239,123
Wonju                          KOR             Kang-won                     237,460
Kurume                         JPN             Fukuoka                      235,611
Kunpo                          KOR             Kyonggi                      235,233
Dunhua                         CHN             Jilin                        235,100
Chunchon                       KOR             Kang-won                     234,528
Fuji                           JPN             Shizuoka                     231,527
Yanji                          CHN             Jilin                        230,892
Jiangmen                       CHN             Guangdong                    230,587
Haeju                          PRK             Hwanghae N                   229,172
Namyangju                      KOR             Kyonggi                      229,060
Tongling                       CHN             Anhui                        228,017
Suihua                         CHN             Heilongjiang                 227,881
Changhwa                       TWN             Changhwa                     227,715
Yungho                         TWN             Taipei                       227,700
Gongziling                     CHN             Jilin                        226,569
Tucheng                        TWN             Taipei                       224,897
Kanggye                        PRK             Chagang                      223,410
Xiantao                        CHN             Hubei                        222,884
Soka                           JPN             Saitama                      222,768
Chaoyang                       CHN             Liaoning                     222,394
Fuchu                          JPN             Tokyo-to                     220,576
Kangnung                       KOR             Kang-won                     220,403
Ganzhou                        CHN             Jiangxi                      220,129
Huzhou                         CHN             Zhejiang                     218,071
Baicheng                       CHN             Jilin                        217,987
Chigasaki                      JPN             Kanagawa                     216,015
Shangzi                        CHN             Heilongjiang                 215,373
Yangjiang                      CHN             Guangdong                    215,196
Qitaihe                        CHN             Heilongjiang                 214,957
Pingtung                       TWN             Pingtung                     214,727
Gejiu                          CHN             Yunnan                       214,294
Jiangyin                       CHN             Jiangsu                      213,659
Hebi                           CHN             Henan                        212,976
Atsugi                         JPN             Kanagawa                     212,407
Jiaxing                        CHN             Zhejiang                     211,526
Numazu                         JPN             Shizuoka                     211,382
Wuzhou                         CHN             Guangxi                      210,452
Ageo                           JPN             Saitama                      209,442
Meihekou                       CHN             Jilin                        209,038
Xuchang                        CHN             Henan                        208,815
Yamato                         JPN             Kanagawa                     208,234
Liaocheng                      CHN             Shandong                     207,844
Matsumoto                      JPN             Nagano                       206,801
Kure                           JPN             Hiroshima                    206,504
Takarazuka                     JPN             Hyogo                        205,993
Haicheng                       CHN             Liaoning                     205,560
Qianjiang                      CHN             Hubei                        205,504
Chungju                        KOR             Chungchongbuk                205,206
Baiyin                         CHN             Gansu                        204,970
Bei´an                         CHN             Heilongjiang                 204,899
Kasukabe                       JPN             Saitama                      201,838
Chofu                          JPN             Tokyo-to                     201,585
Yixing                         CHN             Jiangsu                      200,824
Odawara                        JPN             Kanagawa                     200,171
Kofu                           JPN             Yamanashi                    199,753
Laizhou                        CHN             Shandong                     198,664
Kushiro                        JPN             Hokkaido                     197,608
Qaramay                        CHN             Xinxiang                     197,602
Acheng                         CHN             Heilongjiang                 197,595
Kishiwada                      JPN             Osaka                        197,276
Hitachi                        JPN             Ibaragi                      196,622
Dezhou                         CHN             Shandong                     195,485
Nanping                        CHN             Fujian                       195,064
Zhaoqing                       CHN             Guangdong                    194,784
Beipiao                        CHN             Liaoning                     194,301
Fengcheng                      CHN             Jiangxi                      193,784
Yungkang                       TWN             Tainan                       193,005
Fuyu                           CHN             Jilin                        192,981
Xinyang                        CHN             Henan                        192,509
Nagaoka                        JPN             Niigata                      192,407
Dongtai                        CHN             Jiangsu                      192,247
Yuci                           CHN             Shanxi                       191,356
Itami                          JPN             Hyogo                        190,886
Honghu                         CHN             Hubei                        190,772
Ezhou                          CHN             Hubei                        190,123
Heze                           CHN             Shandong                     189,293
Uji                            JPN             Kyoto                        188,735
Andong                         KOR             Kyongsangbuk                 188,443
Pingchen                       TWN             Taoyuan                      188,344
Daxian                         CHN             Sichuan                      188,101
Linfen                         CHN             Shanxi                       187,309
Tianmen                        CHN             Hubei                        186,332
Yiyang                         CHN             Hunan                        185,818
Quanzhou                       CHN             Fujian                       185,154
Rizhao                         CHN             Shandong                     185,048
Suzuka                         JPN             Mie                          184,061
Yosu                           KOR             Chollanam                    183,596
Deyang                         CHN             Sichuan                      182,488
Guangyuan                      CHN             Sichuan                      182,241
Changshu                       CHN             Jiangsu                      181,805
Zhangzhou                      CHN             Fujian                       181,424
Hailar                         CHN             Inner Mongolia               180,650
Nanchong                       CHN             Sichuan                      180,273
Jiutai                         CHN             Jilin                        180,130
Zhaodong                       CHN             Heilongjiang                 179,976
Shaoxing                       CHN             Zhejiang                     179,818
Fuyang                         CHN             Anhui                        179,572
Kimchaek                       PRK             Hamgyong P                   179,000
Maoming                        CHN             Guangdong                    178,683
Qujing                         CHN             Yunnan                       178,669
Hyesan                         PRK             Yanggang                     178,020
Hirosaki                       JPN             Aomori                       177,522
Ghulja                         CHN             Xinxiang                     177,193
Jiaohe                         CHN             Jilin                        176,367
Puyang                         CHN             Henan                        175,988
Huadian                        CHN             Jilin                        175,873
Jiangyou                       CHN             Sichuan                      175,753
Ube                            JPN             Yamaguchi                    175,206
Kodaira                        JPN             Tokyo-to                     174,984
Qashqar                        CHN             Xinxiang                     174,570
Takaoka                        JPN             Toyama                       174,380
Anshun                         CHN             Guizhou                      174,142
Fuling                         CHN             Sichuan                      173,878
Kyongsan                       KOR             Kyongsangbuk                 173,746
Obihiro                        JPN             Hokkaido                     173,685
Xinyu                          CHN             Jiangxi                      173,524
Tomakomai                      JPN             Hokkaido                     171,958
Tali                           TWN             Taichung                     171,940
Kaesong                        PRK             Kaesong-si                   171,500
Saga                           JPN             Saga                         170,034
Hanzhong                       CHN             Shaanxi                      169,930
Danyang                        CHN             Jiangsu                      169,603
Chenzhou                       CHN             Hunan                        169,400
Sakura                         JPN             Chiba                        168,072
Kamakura                       JPN             Kanagawa                     167,661
Mitaka                         JPN             Tokyo-to                     167,268
Izumi                          JPN             Osaka                        166,979
Hino                           JPN             Tokyo-to                     166,770
Hadano                         JPN             Kanagawa                     166,512
Xiaogan                        CHN             Hubei                        166,280
Taiping                        TWN                                          165,524
Ashikaga                       JPN             Tochigi                      165,243
Shangqiu                       CHN             Henan                        164,880
Zhuhai                         CHN             Guangdong                    164,747
Qingyuan                       CHN             Guangdong                    164,641
Tsu                            JPN             Mie                          164,543
Aqsu                           CHN             Xinxiang                     164,092
Jining                         CHN             Inner Mongolia               163,552
Paju                           KOR             Kyonggi                      163,379
Yangsan                        KOR             Kyongsangnam                 163,351
Xiaoshan                       CHN             Zhejiang                     162,930
Sayama                         JPN             Saitama                      162,472
Zaoyang                        CHN             Hubei                        162,198
Xinghua                        CHN             Jiangsu                      161,910
Pate                           TWN             Taoyuan                      161,700
Hami                           CHN             Xinxiang                     161,315
Yachiyo                        JPN             Chiba                        161,222
Fengyuan                       TWN             Taichung                     161,032
Huizhou                        CHN             Guangdong                    161,023
Jinmen                         CHN             Hubei                        160,794
Tsukuba                        JPN             Ibaragi                      160,768
Sanming                        CHN             Fujian                       160,691
Luchou                         TWN             Taipei                       160,516
Ulanhot                        CHN             Inner Mongolia               159,538
Tachikawa                      JPN             Tokyo-to                     159,430
Korla                          CHN             Xinxiang                     159,344
Kumagaya                       JPN             Saitama                      157,171
Wanxian                        CHN             Sichuan                      156,823
Rui´an                         CHN             Zhejiang                     156,468
Zhoushan                       CHN             Zhejiang                     156,317
Liangcheng                     CHN             Shandong                     156,307
Moriguchi                      JPN             Osaka                        155,941
Otaru                          JPN             Hokkaido                     155,784
Ichon                          KOR             Kyonggi                      155,332
Hsichuh                        TWN             Taipei                       154,976
Asan                           KOR             Chungchongnam                154,663
Anjo                           JPN             Aichi                        153,823
Jiaozhou                       CHN             Shandong                     153,364
Narashino                      JPN             Chiba                        152,849
Oyama                          JPN             Tochigi                      152,820
Taizhou                        CHN             Jiangsu                      152,442
Suzhou                         CHN             Anhui                        151,862
Ogaki                          JPN             Gifu                         151,758
Yichun                         CHN             Jiangxi                      151,585
Shulin                         TWN             Taipei                       151,260
Taonan                         CHN             Jilin                        150,168
Pingdu                         CHN             Shandong                     150,123
Matsue                         JPN             Shimane                      149,821
Kawanishi                      JPN             Hyogo                        149,794
Ji´an                          CHN             Jiangxi                      148,583
Longkou                        CHN             Shandong                     148,362
Langfang                       CHN             Hebei                        148,105
Hitachinaka                    JPN             Tokyo-to                     148,006
Niiza                          JPN             Saitama                      147,744
Nagareyama                     JPN             Chiba                        147,738
Koje                           KOR             Kyongsangnam                 147,562
Tottori                        JPN             Tottori                      147,523
Kimchon                        KOR             Kyongsangbuk                 147,027
Tama                           JPN             Ibaragi                      146,712
Nonsan                         KOR             Chungchongnam                146,619
Zhoukou                        CHN             Henan                        146,288
Suining                        CHN             Sichuan                      146,086
Iruma                          JPN             Saitama                      145,922
Ota                            JPN             Gumma                        145,317
Yulin                          CHN             Guangxi                      144,467
Jinhua                         CHN             Zhejiang                     144,280
Liu´an                         CHN             Anhui                        144,248
Omuta                          JPN             Fukuoka                      142,889
Shuangcheng                    CHN             Heilongjiang                 142,659
Suizhou                        CHN             Hubei                        142,302
Kuri                           KOR             Kyonggi                      142,173
Ankang                         CHN             Shaanxi                      142,170
Weinan                         CHN             Shaanxi                      140,169
Komaki                         JPN             Aichi                        139,827
Longjing                       CHN             Jilin                        139,417
Ome                            JPN             Tokyo-to                     139,216
Chong-up                       KOR             Chollabuk                    139,111
Da´an                          CHN             Jilin                        138,963
Kadoma                         JPN             Osaka                        138,953
Yamaguchi                      JPN             Yamaguchi                    138,210
Lengshuijiang                  CHN             Hunan                        137,994
Laiyang                        CHN             Shandong                     137,080
Chechon                        KOR             Chungchongbuk                137,070
Higashimurayama                JPN             Tokyo-to                     136,970
Xianning                       CHN             Hubei                        136,811
Dali                           CHN             Yunnan                       136,554
Yonago                         JPN             Tottori                      136,461
Anda                           CHN             Heilongjiang                 136,446
Jincheng                       CHN             Shanxi                       136,396
Matsubara                      JPN             Osaka                        135,010
Sosan                          KOR             Chungchongnam                134,746
Longyan                        CHN             Fujian                       134,481
Musashino                      JPN             Tokyo-to                     134,426
Xichang                        CHN             Sichuan                      134,419
Tsuchiura                      JPN             Ibaragi                      134,072
Wendeng                        CHN             Shandong                     133,910
Hailun                         CHN             Heilongjiang                 133,565
Binzhou                        CHN             Shandong                     133,555
Joetsu                         JPN             Niigata                      133,505
Shihung                        KOR             Kyonggi                      133,443
Miyakonojo                     JPN             Miyazaki                     133,183
Linhe                          CHN             Inner Mongolia               133,183
Wuwei                          CHN             Gansu                        133,101
Duyun                          CHN             Guizhou                      132,971
Misato                         JPN             Saitama                      132,957
Mishan                         CHN             Heilongjiang                 132,744
Shangrao                       CHN             Jiangxi                      132,455
Changji                        CHN             Xinxiang                     132,260
Meixian                        CHN             Guangdong                    132,156
Yushu                          CHN             Jilin                        131,861
Kakamigahara                   JPN             Gifu                         131,831
Tiefa                          CHN             Liaoning                     131,807
Tong-yong                      KOR             Kyongsangnam                 131,717
Kongju                         KOR             Chungchongnam                131,229
Huai´an                        CHN             Jiangsu                      131,149
Yongju                         KOR             Kyongsangbuk                 131,097
Daito                          JPN             Osaka                        130,594
Seto                           JPN             Aichi                        130,470
Leiyang                        CHN             Hunan                        130,115
Zalantun                       CHN             Inner Mongolia               130,031
Weihai                         CHN             Shandong                     128,888
Loudi                          CHN             Hunan                        128,418
Qingzhou                       CHN             Shandong                     128,258
Kariya                         JPN             Aichi                        127,969
Urayasu                        JPN             Chiba                        127,550
Beppu                          JPN             Oita                         127,486
Niihama                        JPN             Ehime                        127,207
Minoo                          JPN             Osaka                        127,026
Fujieda                        JPN             Shizuoka                     126,897
Qidong                         CHN             Jiangsu                      126,872
Huaihua                        CHN             Hunan                        126,785
Abiko                          JPN             Chiba                        126,670
Luohe                          CHN             Henan                        126,438
Yuanlin                        TWN             Changhwa                     126,402
Yangmei                        TWN             Taoyuan                      126,323
Chinhae                        KOR             Kyongsangnam                 125,997
Nobeoka                        JPN             Miyazaki                     125,547
Chuzhou                        CHN             Anhui                        125,341
Tondabayashi                   JPN             Osaka                        125,094
Kaiyuan                        CHN             Liaoning                     124,219
Ueda                           JPN             Nagano                       124,217
Sangju                         KOR             Kyongsangbuk                 124,116
Kashihara                      JPN             Nara                         124,013
Linqing                        CHN             Shandong                     123,958
Chaohu                         CHN             Anhui                        123,676
Matsusaka                      JPN             Mie                          123,582
Laohekou                       CHN             Hubei                        123,366
Dujiangyan                     CHN             Sichuan                      123,357
Isesaki                        JPN             Gumma                        123,285
Zhumadian                      CHN             Henan                        123,232
Poryong                        KOR             Chungchongnam                122,604
Kwang-yang                     KOR             Chollanam                    122,052
Zama                           JPN             Kanagawa                     122,046
Kisarazu                       JPN             Chiba                        121,967
Linchuan                       CHN             Jiangxi                      121,949
Miryang                        KOR             Kyongsangnam                 121,501
Jiaonan                        CHN             Shandong                     121,397
Noda                           JPN             Chiba                        121,030
Ishinomaki                     JPN             Miyagi                       120,963
Sanmenxia                      CHN             Henan                        120,523
Heyuan                         CHN             Guangdong                    120,101
Manzhouli                      CHN             Inner Mongolia               120,023
Lhasa                          CHN             Tibet                        120,000
Fujinomiya                     JPN             Shizuoka                     119,714
Kawachinagano                  JPN             Osaka                        119,666
Imabari                        JPN             Ehime                        119,357
Aizuwakamatsu                  JPN             Fukushima                    119,287
Higashihiroshima               JPN             Hiroshima                    119,166
Habikino                       JPN             Osaka                        118,968
Lianyuan                       CHN             Hunan                        118,858
Ebetsu                         JPN             Hokkaido                     118,805
Hofu                           JPN             Yamaguchi                    118,751
